"","SRR9137553_GSM3823667_CON_1_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137554_GSM3823668_CON_2_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137555_GSM3823669_CON_3_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137556_GSM3823670_CON_4_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137557_GSM3823671_CON_5_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137558_GSM3823672_CON_6_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137559_GSM3823673_CON_7_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137560_GSM3823674_CON_8_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137565_GSM3823679_RIL_1_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137566_GSM3823680_RIL_2_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137567_GSM3823681_RIL_3_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137568_GSM3823682_RIL_4_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM"
"ENSMUSG00000098315",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103095",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102574",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102590",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000046793",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102884",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085318",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050947",7,10,18,15,13,6,18,9,16,6,13,7
"ENSMUSG00000048796",5,11,17,13,14,10,19,16,5,4,14,7
"ENSMUSG00000048997",0,1,3,1,1,1,4,3,2,1,3,1
"ENSMUSG00000027887",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105961",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083462",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085102",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028184",35,56,80,76,86,47,74,69,80,60,60,65
"ENSMUSG00000068749",275,432,893,633,590,448,629,536,509,282,538,413
"ENSMUSG00000104786",0,7,9,15,8,5,12,1,10,1,1,7
"ENSMUSG00000084863",0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000105876",1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118723",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105357",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000042520",39,59,166,114,104,46,57,87,46,41,84,46
"ENSMUSG00000068747",16,14,25,43,36,22,23,25,32,16,34,41
"ENSMUSG00000105358",3,0,1,1,0,0,0,0,2,0,0,0
"ENSMUSG00000078601",0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000077569",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000098397",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068745",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000074281",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000027684",1,3,10,7,7,1,9,10,4,1,2,1
"ENSMUSG00000085702",0,1,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000104486",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102460",0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000069074",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000103870",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104079",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103738",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000102256",0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000104243",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102505",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00002076068",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037737",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068744",0,1,0,4,3,1,4,0,0,1,1,1
"ENSMUSG00000037730",14,30,59,37,36,28,32,29,28,12,23,14
"ENSMUSG00000027942",63,97,125,138,129,106,127,95,124,81,157,99
"ENSMUSG00000027702",0,1,0,1,0,0,1,0,0,0,0,1
"ENSMUSG00000118504",0,8,14,13,11,2,8,8,7,0,5,7
"ENSMUSG00000090005",0,0,1,0,1,1,0,0,0,0,0,0
"ENSMUSG00000118506",29,4,29,16,16,13,14,27,4,9,10,21
"ENSMUSG00000077996",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000027703",0,2,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000074653",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086189",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068740",2,1,10,0,0,0,3,5,1,0,0,1
"ENSMUSG00000051860",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097786",0,1,3,1,0,1,3,1,2,0,2,3
"ENSMUSG00000027706",716,794,1532,1103,1226,946,1202,979,857,635,1074,871
"ENSMUSG00000104361",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068739",91,129,325,196,191,124,207,172,101,90,154,164
"ENSMUSG00000089188",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037661",0,1,2,0,0,0,1,1,1,1,4,1
"ENSMUSG00000106101",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000027940",330,469,1215,860,762,529,793,719,368,247,572,477
"ENSMUSG00000027939",2,0,2,2,1,1,0,3,1,0,2,2
"ENSMUSG00000064930",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104649",590,789,1973,1224,1180,556,750,1122,664,437,794,685
"ENSMUSG00000084527",0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000040412",1,4,5,2,8,7,2,3,2,1,3,1
"ENSMUSG00000090733",168,193,449,284,279,208,314,246,181,111,253,261
"ENSMUSG00000080673",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103761",1,0,1,5,0,1,0,1,0,1,3,1
"ENSMUSG00000027886",1,0,3,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088185",4,1,4,2,1,4,4,3,4,3,2,2
"ENSMUSG00000105810",0,0,1,1,0,0,0,0,1,0,0,2
"ENSMUSG00000027935",14,15,24,25,18,18,32,11,17,16,30,9
"ENSMUSG00000068732",3,17,29,12,21,8,18,7,7,9,15,8
"ENSMUSG00002075820",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000048100",24,51,101,74,66,36,78,46,39,27,48,47
"ENSMUSG00000027937",185,232,405,374,399,290,434,306,302,201,338,279
"ENSMUSG00000040389",3,6,8,13,6,10,5,12,6,4,11,2
"ENSMUSG00000081499",0,1,2,0,0,0,0,2,2,0,0,0
"ENSMUSG00000027938",0,0,1,1,1,0,2,3,1,0,1,0
"ENSMUSG00000052310",175,262,643,464,416,179,318,385,241,138,329,188
"ENSMUSG00000027884",9,14,18,16,17,11,14,9,17,9,14,9
"ENSMUSG00000027883",7,8,22,22,22,10,24,10,15,6,28,13
"ENSMUSG00000098800",0,0,0,0,0,0,0,0,1,0,1,0
"ENSMUSG00000027936",38,28,91,53,47,26,30,35,18,28,36,31
"ENSMUSG00000049565",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000037652",25,43,72,44,46,27,36,56,43,25,55,27
"ENSMUSG00000102369",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102741",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000027882",84,109,213,163,123,88,165,104,85,62,118,83
"ENSMUSG00000037643",40,92,267,126,93,57,103,66,81,29,108,55
"ENSMUSG00000098890",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000042404",4,9,6,7,14,4,5,4,10,2,12,5
"ENSMUSG00000099199",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105350",0,1,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000045326",0,0,0,0,3,0,0,0,0,1,0,1
"ENSMUSG00000105175",1,1,4,4,4,7,6,5,5,1,1,3
"ENSMUSG00000027881",204,184,534,352,333,232,309,241,155,118,254,220
"ENSMUSG00000051638",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000027660",101,125,292,179,174,63,149,122,90,53,70,78
"ENSMUSG00000037625",0,0,0,0,4,0,0,0,0,0,1,0
"ENSMUSG00000042390",214,195,545,314,229,157,186,219,152,121,210,165
"ENSMUSG00000108394",1,3,1,0,1,0,2,0,1,1,0,0
"ENSMUSG00000108689",0,0,1,0,1,1,0,1,1,0,1,0
"ENSMUSG00000069072",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085953",0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103998",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103499",1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000045662",0,0,5,1,0,0,0,0,0,0,0,0
"ENSMUSG00000040339",10,16,72,44,32,27,33,46,3,16,21,19
"ENSMUSG00000027932",0,0,0,1,0,0,1,0,0,0,0,3
"ENSMUSG00000106108",1,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00002074978",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105638",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037610",0,0,0,0,2,0,0,0,0,0,0,0
"ENSMUSG00000103539",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000103643",0,0,1,1,0,0,0,0,0,0,0,0
"ENSMUSG00000027880",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000105139",0,0,0,0,0,1,0,0,0,0,2,0
"ENSMUSG00000027663",29,48,113,63,61,57,76,62,57,18,58,44
"ENSMUSG00000102825",0,0,0,0,2,0,0,0,0,0,0,0
"ENSMUSG00000040322",15,75,214,93,80,55,73,68,13,19,84,38
"ENSMUSG00000083717",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000027665",127,126,258,171,167,120,151,165,141,100,170,119
"ENSMUSG00000103039",2,1,1,5,1,0,0,1,0,2,4,0
"ENSMUSG00000091091",0,1,2,2,4,2,0,1,1,4,1,0
"ENSMUSG00000033721",1,1,3,2,1,4,2,7,6,0,6,3
"ENSMUSG00000027933",18,34,93,50,56,31,62,40,46,29,76,57
"ENSMUSG00000027667",34,62,103,82,64,39,55,59,78,48,53,33
"ENSMUSG00000104231",0,0,0,0,0,0,0,0,0,0,1,6
"ENSMUSG00000027931",17,13,20,20,15,18,32,14,14,16,23,17
"ENSMUSG00000087411",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105746",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000027668",28,56,141,83,74,60,97,64,60,28,75,67
"ENSMUSG00000001016",12,28,46,37,31,16,23,28,24,21,37,21
"ENSMUSG00000001018",25,54,88,85,84,41,77,64,53,37,75,49
"ENSMUSG00000059857",0,0,0,1,1,1,1,0,0,0,1,0
"ENSMUSG00000065872",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000082624",0,0,2,1,1,1,1,1,0,0,0,0
"ENSMUSG00000105639",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000049300",13,26,44,24,35,31,33,37,50,22,29,31
"ENSMUSG00000105509",6,9,8,7,6,4,7,8,2,4,3,4
"ENSMUSG00000104944",0,2,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105859",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105121",0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000119642",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000027669",7,2,11,12,7,4,5,10,10,9,16,9
"ENSMUSG00000106650",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000106487",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000106100",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102862",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000105882",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104711",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104543",0,0,0,0,0,1,0,0,0,0,1,0
"ENSMUSG00000089017",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105507",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105077",6,8,35,11,8,11,17,3,2,3,7,9
"ENSMUSG00000105073",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105785",2,1,3,0,0,3,4,1,1,1,2,2
"ENSMUSG00000106666",1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105588",0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000045952",0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000105665",0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083079",0,1,0,1,0,0,0,1,0,1,1,1
"ENSMUSG00000081506",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000074268",0,0,0,2,1,0,3,0,0,6,4,0
"ENSMUSG00000001017",126,116,367,276,196,132,211,222,148,95,180,174
"ENSMUSG00000096770",0,0,0,0,1,0,0,1,0,0,1,1
"ENSMUSG00000093931",0,0,1,1,0,0,2,1,1,0,2,1
"ENSMUSG00000044080",381,441,873,856,752,464,808,597,542,409,609,740
"ENSMUSG00000042312",40,42,90,70,62,50,60,52,58,28,70,49
"ENSMUSG00000096569",0,0,0,0,1,0,2,0,0,1,4,0
"ENSMUSG00000027671",11,8,28,8,19,4,13,10,8,4,18,4
"ENSMUSG00000070360",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000042306",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103590",0,0,0,1,0,0,0,0,0,0,0,1
"ENSMUSG00000074457",50,168,355,232,242,114,213,142,118,72,152,122
"ENSMUSG00000084456",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094018",0,0,2,0,0,2,0,0,0,0,0,0
"ENSMUSG00000065079",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001021",0,1,5,0,0,1,3,2,1,0,1,0
"ENSMUSG00000105518",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000074264",452,515,785,851,865,449,841,588,549,663,794,782
"ENSMUSG00000001020",0,2,1,1,0,4,1,1,0,1,0,0
"ENSMUSG00000001023",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001025",13,92,302,112,184,197,221,210,28,19,124,52
"ENSMUSG00000105644",1,1,17,12,6,9,4,8,1,1,5,5
"ENSMUSG00000063767",0,0,0,6,0,0,0,0,0,0,0,0
"ENSMUSG00000056054",2,3,1,3,0,1,1,3,2,2,1,3
"ENSMUSG00000056071",2,2,3,2,1,1,6,1,2,2,5,8
"ENSMUSG00000105819",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000106117",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000042250",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105892",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096621",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000106174",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000106257",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105919",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086377",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000091175",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002076591",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000042244",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000082826",5,7,22,13,15,6,10,14,7,5,12,8
"ENSMUSG00002075468",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000043165",39,17,77,54,39,16,40,55,5,7,35,27
"ENSMUSG00000104981",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104791",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000106143",0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000056270",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000027927",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105476",0,1,0,0,0,0,0,1,0,3,0,0
"ENSMUSG00000118547",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000078664",0,2,0,0,0,1,1,0,1,0,3,0
"ENSMUSG00000068893",0,0,0,0,0,0,1,0,0,0,1,0
"ENSMUSG00000103286",11,24,42,30,19,19,29,20,10,6,17,20
"ENSMUSG00000103187",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104028",2,5,11,10,7,7,9,3,3,2,5,3
"ENSMUSG00000103385",0,0,0,0,1,2,1,0,0,0,0,0
"ENSMUSG00000074445",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050092",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103518",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103221",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000042212",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000055030",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050635",0,0,2,2,0,0,1,0,0,0,0,0
"ENSMUSG00000046203",5,3,8,15,3,2,1,5,7,2,3,0
"ENSMUSG00000046259",0,0,1,1,4,3,5,4,0,0,3,2
"ENSMUSG00000042157",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000027925",0,0,5,0,0,0,0,0,0,0,0,0
"ENSMUSG00000042165",199,236,577,415,425,297,431,388,280,244,429,326
"ENSMUSG00000054215",0,0,0,0,0,0,0,0,0,0,0,2
"ENSMUSG00000048455",9,8,32,4,1,3,2,23,0,4,3,2
"ENSMUSG00000045539",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102345",0,0,0,0,0,1,0,0,0,0,1,0
"ENSMUSG00000050359",426,1437,5448,2702,2052,2091,2763,2794,531,162,1406,864
"ENSMUSG00000045566",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102308",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000027981",23,31,40,67,45,27,23,38,21,26,35,19
"ENSMUSG00000049128",1,10,14,11,11,0,7,5,0,0,4,1
"ENSMUSG00000074435",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103523",0,0,0,1,1,0,0,0,0,0,0,0
"ENSMUSG00000105836",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000106454",0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000086848",2,0,0,0,0,0,0,1,0,1,0,0
"ENSMUSG00000106084",1,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000057609",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000027923",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104215",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068890",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000042092",0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000103243",50,35,138,108,38,65,76,34,19,10,23,29
"ENSMUSG00000091421",5,2,7,3,1,2,2,0,2,0,0,2
"ENSMUSG00000068889",0,0,1,1,0,0,0,3,0,0,1,0
"ENSMUSG00000042124",0,0,6,0,0,2,0,1,0,0,5,0
"ENSMUSG00000103084",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000027919",14,5,56,47,34,32,41,33,5,4,36,37
"ENSMUSG00000049593",0,0,0,0,0,0,1,1,0,0,0,1
"ENSMUSG00000068888",0,0,0,0,1,0,2,0,0,1,0,0
"ENSMUSG00000068887",1,0,0,2,0,1,1,1,0,1,0,0
"ENSMUSG00000095870",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059832",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102469",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000046676",0,0,0,1,0,0,1,0,0,0,0,0
"ENSMUSG00000090314",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054325",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000042031",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104364",0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000045475",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087835",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000043472",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000065665",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000074433",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068885",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000027913",55,7,34,28,36,63,70,40,4,43,20,17
"ENSMUSG00000027912",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104298",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000096879",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000103628",0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000078657",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103902",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000049133",0,0,0,3,0,0,0,0,0,0,0,0
"ENSMUSG00000102609",0,0,0,1,0,0,0,0,0,0,1,0
"ENSMUSG00000027966",1,0,0,0,2,0,4,0,0,0,3,0
"ENSMUSG00000106452",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000077410",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105225",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102439",0,1,0,0,0,0,0,0,0,0,1,2
"ENSMUSG00000081640",1,1,7,7,1,2,1,0,5,2,2,0
"ENSMUSG00000102485",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103273",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102476",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000041991",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002076970",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103765",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000041984",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000104171",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002075117",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000057829",1,1,3,1,0,0,0,1,0,0,0,0
"ENSMUSG00000052415",2,2,9,10,4,6,12,3,4,5,3,2
"ENSMUSG00000027965",5,6,14,24,24,9,11,12,14,15,19,7
"ENSMUSG00000027908",0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000104135",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000106510",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088346",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002075856",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000027907",111,279,796,452,456,381,453,495,120,84,253,191
"ENSMUSG00000105829",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103031",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000041959",909,1392,3821,2398,2129,1669,2205,2047,1091,567,1446,1282
"ENSMUSG00000103406",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104470",0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000103362",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094084",0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000104144",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103350",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104229",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102511",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103210",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068879",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060256",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000058005",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103512",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102169",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102933",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102769",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095822",0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000102445",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094163",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103841",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102804",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104460",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104059",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102857",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094328",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102655",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095251",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102696",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103239",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102462",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104338",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102949",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102311",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102285",0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000089826",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000074424",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090268",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090111",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089689",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000089893",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089696",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089891",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028145",59,94,131,121,151,67,115,77,92,84,107,119
"ENSMUSG00000105506",29,37,45,48,42,49,41,34,16,15,15,26
"ENSMUSG00000028148",1,0,4,2,1,0,1,2,2,0,1,0
"ENSMUSG00000105708",0,1,0,2,2,0,0,0,0,0,1,3
"ENSMUSG00000091648",10,6,7,5,9,11,9,3,6,6,11,7
"ENSMUSG00000104669",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028150",21,22,33,44,45,31,32,25,34,19,30,23
"ENSMUSG00000105391",0,0,0,0,0,0,0,0,0,0,0,0
